"","study_ID","country","coordinates_lat","coordinates_lon","year_start","month_start","month_end","midDate","JDay_midDate","Lat_int","Daylength"
"110","Rodger_2010","South Africa",-29.51694444,30.26694444,2006,"February","February",2023-02-14,45,-30,13.1750165614118
"111","Valiente-Banuet_1997","Mexico",18.26694444,-97.11694444,1995,"November","February",2023-07-01,182,18,13.1906657750343
"112","Valiente-Banuet_1997","Mexico",18.33361111,-97.46694444,1995,"January","April",2023-03-01,60,18,11.7739360815867
"113","Scopece_2018","Italy",40.839383,14.181022,2011,"May","June",2023-05-31,151,41,14.84981589137
"114","Tan_2023","China",24.40027778,114.30027778,2020,"August","September",2023-08-31,243,24,12.6588580753677
"115","Vanderplank_2020","Belgium",50.45027778,3.95027778,2018,"June","June",2023-06-15,166,50,16.2534449863604
"116","Wang_2023","China",24.56888889,104.83388889,2020,"June","August",2023-07-16,197,25,13.5386613720759
"117","Yon_2017","United States",37.0837,-114.0119,2013,"June","June",2023-06-15,166,37,14.6537080173418
"118","Benning_2015","United States",27.183333,-81.35,2013,"April","April",2023-04-15,105,27,12.7766824555296
"119","Valdivia_2006","Chile",-33.266667,-70.301389,2004,"April","April",2023-04-15,105,-33,11.3056243518243
"120","Young_2002","United States",43.15,-105.083333,1994,"July","August",2023-07-31,212,43,14.5665759013727
"121","Robertson_2021","United States",36.1,-94.17,2017,"April","April",2023-04-15,105,36,13.0672841591316
"122","Robertson_2021","United States",36.1,-94.17,2018,"April","April",2023-04-15,105,36,13.0672841591316
"123","Funamoto_2020","Japan",35.31,135.716,2019,"April","April",2023-04-15,105,35,13.0317954121425
"124","Barrios_2022","Cuba",23.0361092356404,-81.6900888666783,2012,"April","April",2023-04-15,105,23,12.6639818493592
"125","Cardenas_2020","Ecuador",-3.338153,-79.171358,2020,"March","June",2023-04-30,120,-3,12.0111886275961
"126","Aguilar-Rodriguez_2014","Mexico",19.5,-97,2011,"March","April",2023-03-31,90,20,12.3053181146414
"127","Allison_2022","Switzerland",46.9000412819302,9.44999813146616,2021,"July","August",2023-07-31,212,47,14.9533862585677
"128","Bertin_1980","United States",40.1787391875509,-88.1586846557328,1978,"June","August",2023-07-16,197,40,14.7106904398968
"129","Bertin_1980","United States",40.1787391875509,-88.1586846557328,1979,"June","August",2023-07-16,197,40,14.7106904398968
"130","Cruz_2021","Brazil",-20.7513877908726,-42.8784138025117,2008,"March","April",2023-03-31,90,-21,11.9222646377694
"131","da Paz_2013","Brazil",-12.198972,-38.968778,2010,"October","October",2023-10-16,289,-12,12.3598721539072
"132","Diniz_2021","Brazil",-15.681111,-47.988056,2021,"January","January",2023-01-16,16,-16,12.9692324595183
"133","Fleming_1998","Mexico",28.9839157010269,-111.933085015528,1995,"May","May",2023-05-16,136,29,13.5891676134851
"134","Fleming_1998","Mexico",28.9839157010269,-111.933085015528,1996,"May","May",2023-05-16,136,29,13.5891676134851
"135","Ganesh_2000","India",8.50520368206364,77.4664342711649,1998,"December","April",2023-08-15,227,9,12.4249739365575
"136","Cutler_2012","Canada",45.443056,-63.449167,2011,"May","August",2023-07-01,182,45,15.5145055001395
"137","de Oliveira Muniz_2020","Brazil",-5.07536659634568,-37.9907451980997,2016,"February","June",2023-04-16,106,-5,11.9972939535064
"138","Fijen_2023","Netherlands",51.55,4.64,2022,"April","May",2023-05-01,121,52,14.8185001075945
"139","Flores-Torres_2017","Mexico",19.016389,-99.148611,2005,"February","February",2023-02-14,45,19,11.4993411096322
"140","Gibson_2022","Canada",45.0178131180022,-76.3658577634068,2020,"July","September",2023-08-15,227,45,14.1269755536202
"141","McMullen_2007","Ecuador",-0.542222,-90.7175,1993,"June","June",2023-06-15,166,-1,12.0635970287121
"142","McMullen_2011","Ecuador",-0.478611,-90.168056,1994,"June","July",2023-07-01,182,0,12.120857344773
"143","Ortiz_2000","Spain",36.766667,-5.35,1996,"June","July",2023-07-01,182,37,14.6401434885906
"144","Martinell_2010","Spain",42.2679167992506,2.96358885416722,2007,"July","July",2023-07-16,197,42,14.9090129054519
"145","Lu_2021","China",25.04,110.18,2018,"July","July",2023-07-16,197,25,13.5386613720759
"146","Mendez_2005","Mexico",21.3,-89.166667,1999,"February","March",2023-03-02,61,21,11.7334024075286
"147","Meyer_2007","Germany",51.5420335108923,9.9172372287325,2006,"May","July",2023-06-15,166,52,16.5990070439298
"148","Hernandez-Conrique_2007","Mexico",19.5862521507702,-104.274354847901,2002,"November","November",2023-11-15,319,20,11.2059040483638
"149","Slauson_2000","United States",33.75,-110.966667,1998,"July","July",2023-07-16,197,34,14.1870266207303
"150","Paton_1985","Australia",-33.7826529311146,151.255309983224,1981,"May","April",2023-04-30,120,-34,10.8014442133594
"151","Rodriguez-Oseguera_2013","Mexico",18.311472,-101.875806,2010,"January","July",2023-04-16,106,18,12.5490669413512
"152","Ibarra_2005","Mexico",19.712222,-104.236111,2002,"February","February",2023-02-14,45,20,11.4646273466365
"153","Valiente-Banuet_2007","Mexico",18.4604803054948,-97.4163429298623,2001,"June","June",2023-06-15,166,18,13.1963996185805
"154","Jaca_2020","Canary Islands",28.5687658640548,-16.1595289958617,2016,"May","June",2023-05-31,151,29,13.8370759531384
"155","Jabbari_2013","United States",40.5603999489768,-85.6652007582537,2009,"June","August",2023-07-16,197,41,14.8080987333035
