,old_name,plant_species,plant_family,flower_symmetry,lifespan,life_form,ps_pathway,flower_shape,breeding_system,bloom_period,bloom_period_simple,nectar,odour,color,flower_width_midpoint_mm,flower_length_midpoint_mm,style_length_midpoint_mm,plant_height_midpoint_m
27,Castilleja citrina,Castilleja citrina,Orobanchaceae,zygomorphic,perennial,herb,C3,tube,hermaphrodite,both,both,present,present,yellow,3.5,32.5,34.5,0.25
28,Castilleja lindheimeri,Castilleja lindheimeri,Orobanchaceae,zygomorphic,perennial,herb,C3,tube,hermaphrodite,both,both,present,present,orange,2.5,37.5,40.5,0.3
29,Castilleja sessiliflora,Castilleja sessiliflora,Orobanchaceae,zygomorphic,perennial,herb,C3,tube,hermaphrodite,both,both,present,present,white,3,42.5,44.5,0.22
30,Cipocereus crassisepalus,Cipocereus crassisepalus,Cactaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,dusk,night,present,present,white,55.9,55.7,84,3
31,Cipocereus minensis,Cipocereus minensis,Cactaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,dusk,night,present,present,white,32.8,46.1,27.4,2
32,Clerodendrum izuinsulare,Clerodendrum izuinsulare,Lamiaceae,actinomorphic,perennial,tree,C3,tube,hermaphrodite,NA,NA,present,present,white,11.47,26.25,33.47,7.5
33,Clerodendrum trichotomum,Clerodendrum trichotomum,Lamiaceae,actinomorphic,perennial,tree,C3,tube,hermaphrodite,day,day,present,present,white,14.67,25.29,42.81,7.5
34,Clerodendrum molle,Clerodendrum villosum,Lamiaceae,actinomorphic,perennial,shrub,C3,tube,hermaphrodite,NA,NA,present,present,white,1.75,25,25,3.25
35,Cordia lutea,Cordia lutea,Boraginaceae,actinomorphic,perennial,shrub,C3,tube,hermaphrodite,day,day,present,present,yellow,30,30,20,8
36,Cullenia exarillata,Cullenia exarillata,Malvaceae,actinomorphic,perennial,tree,C3,tube,hermaphrodite,day,day,present,present,brown,13.5,45,54,27.5
37,Daphne jezoensis,Daphne jezoensis,Thymelaeaceae,actinomorphic,perennial,shrub,C3,tube,dioecious,NA,NA,present,present,yellow,10.8,6.4,2.7,0.2
38,Durio kutejensis,Durio kutejensis,Malvaceae,actinomorphic,perennial,tree,C3,open,hermaphrodite,dusk,night,present,present,red,110,40,72.5,12
